als_val  , ps_val, tempbuf, mag[x] , mag[y] , mag[z] , pressbuf, presstempbuf, acc[x] , acc[y] , acc[z] , (RED)  , (GREEN), (BLUE) , (IR)   ,(GREEN2)
61.1,0,26.0,5.9,-46.6,-75.4,1021.009,21.4,-0.0,0.1,1.0,68,186,84,5,190
67.6,0,26.0,5.4,-45.7,-76.3,1021.003,21.4,-0.0,0.1,1.0,68,186,84,5,190
67.6,0,26.0,5.5,-45.4,-76.5,1021.003,21.4,-0.0,0.1,1.0,66,182,83,5,190
67.6,0,26.0,5.5,-46.7,-75.2,1021.003,21.4,-0.0,0.2,1.0,66,182,83,5,183
61.1,0,25.4,5.9,-48.0,-74.5,1021.003,21.4,-0.0,0.2,1.0,66,182,83,5,183
61.1,0,26.0,5.3,-48.6,-74.4,1021.003,21.4,-0.0,0.1,1.0,66,182,83,5,183
61.1,0,26.0,5.3,-47.4,-75.2,1021.003,21.4,-0.0,0.1,1.0,73,194,90,5,183
82.5,0,25.4,5.5,-45.6,-76.5,1020.983,21.4,-0.0,0.1,1.0,73,194,90,5,191
82.5,0,26.0,5.3,-44.8,-76.8,1020.983,21.4,-0.0,0.1,1.0,73,194,90,5,191
82.5,0,26.0,5.9,-45.3,-76.3,1020.983,21.4,-0.0,0.1,1.0,64,179,81,5,191
49.7,0,24.8,6.3,-46.5,-75.0,1020.983,21.4,-0.0,0.2,1.0,64,179,81,5,191
49.7,0,26.0,6.4,-46.7,-75.1,1020.983,21.4,-0.0,0.1,1.1,64,179,81,5,182
49.7,0,26.0,6.4,-45.8,-75.5,1020.983,21.4,-0.0,0.1,1.0,64,179,81,5,182
61.3,0,26.6,5.9,-44.9,-76.3,1020.983,21.4,-0.0,0.1,1.0,65,181,82,5,182
61.3,0,25.4,6.1,-45.1,-76.3,1021.005,21.4,-0.0,0.1,1.0,65,181,82,5,178
44.6,0,25.4,6.8,-46.0,-75.2,1021.005,21.4,-0.0,0.1,0.9,65,181,82,5,178
44.6,0,26.0,7.1,-45.9,-74.9,1021.005,21.4,-0.0,0.1,1.0,65,181,82,5,178
44.6,0,26.0,6.9,-45.2,-75.6,1021.005,21.4,-0.1,0.0,1.1,63,178,81,5,178
43.0,0,26.0,6.4,-44.3,-76.4,1021.005,21.4,-0.0,0.0,1.1,63,178,81,5,174
43.0,0,26.0,6.8,-44.1,-76.3,1021.005,21.4,-0.0,0.1,1.0,63,178,81,5,174
43.0,0,26.0,7.1,-43.9,-76.0,1021.030,21.4,-0.0,0.1,1.0,59,169,76,5,174
31.6,0,26.0,7.5,-44.0,-75.6,1021.030,21.4,-0.0,0.1,1.0,59,169,76,5,174
31.6,0,25.4,8.0,-44.2,-75.0,1021.030,21.4,-0.0,0.1,1.0,59,169,76,5,167
31.6,0,26.0,8.6,-44.6,-74.6,1021.030,21.4,-0.1,0.0,1.1,59,169,76,5,167
24.8,0,26.0,8.4,-45.1,-74.4,1021.030,21.4,-0.1,0.0,1.0,55,163,74,5,167
24.8,0,26.0,9.0,-45.3,-73.8,1021.030,21.4,-0.1,0.0,1.0,55,163,74,5,165
24.8,0,26.0,9.3,-45.3,-73.5,1021.030,21.4,-0.1,0.0,1.0,55,163,74,5,165
26.5,0,26.0,8.6,-45.4,-73.9,1020.990,21.4,-0.1,0.0,1.1,55,163,74,5,165
26.5,0,26.0,8.2,-46.5,-73.9,1020.990,21.4,-0.1,0.0,1.0,55,164,74,5,165
26.5,0,26.0,7.5,-47.7,-73.6,1020.990,21.4,-0.1,0.1,1.0,55,164,74,5,167
28.0,0,26.0,6.3,-48.9,-73.8,1020.990,21.4,-0.1,0.0,1.0,55,164,74,5,167
28.0,0,25.4,5.5,-48.8,-74.4,1020.990,21.4,-0.1,0.0,1.0,65,182,84,5,167
64.4,0,26.0,5.0,-48.0,-75.3,1020.990,21.4,-0.1,0.1,0.9,65,182,84,5,185
64.4,0,26.0,5.4,-47.9,-75.3,1021.009,21.4,-0.0,0.2,0.8,65,182,84,5,185
64.4,0,25.4,5.9,-48.2,-74.5,1021.009,21.4,-0.0,0.3,0.9,65,182,84,5,185
64.4,0,26.0,6.0,-48.1,-74.4,1021.009,21.4,-0.0,0.2,1.0,66,183,84,5,185
64.4,0,26.0,5.5,-47.3,-75.4,1021.009,21.4,-0.1,0.0,1.3,66,183,84,5,181
64.4,0,24.8,5.1,-46.8,-76.1,1021.009,21.4,-0.1,0.0,1.2,66,183,84,5,181
51.2,0,25.4,4.7,-46.7,-76.3,1021.009,21.4,-0.0,0.1,1.0,66,183,84,5,181
51.2,0,26.0,5.3,-46.9,-76.0,1021.009,21.4,-0.0,0.1,0.9,63,178,81,5,181
51.2,0,26.0,5.1,-46.8,-75.8,1021.020,21.4,-0.0,0.1,0.9,63,178,81,5,179
49.7,0,26.0,5.5,-46.4,-75.9,1021.020,21.4,-0.0,0.1,1.0,63,178,81,5,179
49.7,0,26.0,6.0,-45.9,-76.0,1021.020,21.4,-0.0,0.1,1.0,60,173,78,5,179
49.7,0,26.0,6.3,-45.3,-76.2,1021.020,21.4,-0.1,0.0,1.0,60,173,78,5,179
38.1,0,25.4,6.6,-44.8,-76.2,1021.020,21.4,-0.1,0.1,1.0,60,173,78,5,169
38.1,0,26.0,6.4,-45.2,-76.0,1021.020,21.4,-0.1,0.1,1.1,60,173,78,5,169
24.6,0,26.0,6.3,-46.4,-75.5,1021.022,21.4,-0.1,0.0,1.1,56,166,75,5,169
24.6,0,26.0,6.2,-46.6,-75.6,1021.022,21.4,-0.1,0.0,1.0,56,166,75,5,171
24.6,0,26.0,6.0,-46.3,-75.8,1021.022,21.4,-0.0,0.1,1.0,56,166,75,5,171
38.1,0,26.0,5.6,-45.9,-76.3,1021.022,21.4,-0.0,0.1,1.0,56,166,75,5,171
5.0,65,26.0,1.8,-45.6,-78.3,1021.012,21.4,-0.0,-0.0,1.0,7,25,4,2,24
5.0,69,26.6,1.8,-45.0,-78.8,1021.012,21.4,-0.0,0.0,1.0,7,25,4,2,25
5.0,69,26.0,2.0,-44.8,-78.8,1021.008,21.4,-0.0,0.1,1.0,7,25,4,2,25
5.0,69,26.0,2.0,-45.2,-78.5,1021.008,21.4,-0.0,0.1,1.0,7,24,3,2,25
